Organization,Agency,Service,Subservice,Location
63113 - EDD ECON REVITALIZATION TIF,63 -  ECONOMIC DEVELOPMENT,631 -  ECONOMIC REVITALIZATION,6313 -  TAX INCREMENT FINANCING,0000 -  UNDEFINED
63220 - EDD OBR VENDING,63 -  ECONOMIC DEVELOPMENT,632 -  OFFICE OF BUSINESS RESOURCES,6320 -  VENDING,0000 -  UNDEFINED
63221 - EDD OBR ECON DEV BUSINESS ASST,63 -  ECONOMIC DEVELOPMENT,632 -  OFFICE OF BUSINESS RESOURCES,6321 -  ECON DEVELOPMENT BUS ASSIST,0000 -  UNDEFINED
63222 - EDD OBR BUS ORGANIZATION OUTRC,63 -  ECONOMIC DEVELOPMENT,632 -  OFFICE OF BUSINESS RESOURCES,6322 -  BUSINESS ORGANIZATION OUTREACH,0000 -  UNDEFINED
63330 - EDD RE ACQUISITIONS DISPOSALS,63 -  ECONOMIC DEVELOPMENT,633 -  OFFICE OF REAL ESTATE SERVICES,6330 -  ACQUISITIONS DISPOSALS,0000 -  UNDEFINED
63331 - EDD RE LEASES LICENSES,63 -  ECONOMIC DEVELOPMENT,633 -  OFFICE OF REAL ESTATE SERVICES,6331 -  LEASES LICENSES,0000 -  UNDEFINED
63332 - EDD RE ENCROACHMENT EASE PRMT,63 -  ECONOMIC DEVELOPMENT,633 -  OFFICE OF REAL ESTATE SERVICES,6332 -  ENCROACHMENT EASEMENT PERMITS,0000 -  UNDEFINED
63333 - EDD RE CSM PLATS TITLES,63 -  ECONOMIC DEVELOPMENT,633 -  OFFICE OF REAL ESTATE SERVICES,6333 -  CSM PLATS TITLES,0000 -  UNDEFINED
64100 - PCED ADMIN AND SUPPORT,64 -  PCED OFFICE OF DIRECTOR,641 -  PL CDD EDD ADMIN AND SUPPORT,0000 -  UNDEFINED,0000 -  UNDEFINED
65101 - PL NEIGH PLAN PRES DESIGN ADMI,65 -  PLANNING,651 -  NEIGH PLANNING PRES AND DESIGN,6501 -  ADMINISTRATION,0000 -  UNDEFINED
65110 - PL NEIGHBORHOOD PLANNING,65 -  PLANNING,651 -  NEIGH PLANNING PRES AND DESIGN,6510 -  NEIGHBORHOOD PLANNING,0000 -  UNDEFINED
65111 - PL PRESERVATION PLANNING,65 -  PLANNING,651 -  NEIGH PLANNING PRES AND DESIGN,6511 -  PRESERVATION PLANNING,0000 -  UNDEFINED
65112 - PL MADISON ARTS PROGRAM,65 -  PLANNING,651 -  NEIGH PLANNING PRES AND DESIGN,6512 -  MADISON ARTS PROGRAM,0000 -  UNDEFINED
65113 - PL URBAN DESIGN COMMISSION,65 -  PLANNING,651 -  NEIGH PLANNING PRES AND DESIGN,6513 -  URBAN DESIGN COMMISSION,0000 -  UNDEFINED
65114 - PL SPECIAL PROJECTS,65 -  PLANNING,651 -  NEIGH PLANNING PRES AND DESIGN,6514 -  SPECIAL PROJECTS,0000 -  UNDEFINED
65115 - PL TIF CDA REDEVELOPMENT PLAN,65 -  PLANNING,651 -  NEIGH PLANNING PRES AND DESIGN,6515 -  TIF CDA REDEVELOPMENT PLANNING,0000 -  UNDEFINED
65201 - PL COMP PLAN AND DEVELOP ADMIN,65 -  PLANNING,652 -  COMP PLANNING AND DEV REVIEW,6501 -  ADMINISTRATION,0000 -  UNDEFINED
65220 - PL PLAN COMMISSION DEV REVIEW,65 -  PLANNING,652 -  COMP PLANNING AND DEV REVIEW,6520 -  PLAN COMMISSION DEV REVIEW,0000 -  UNDEFINED
65221 - PL DEVELP LAND USE ZONING REG,65 -  PLANNING,652 -  COMP PLANNING AND DEV REVIEW,6521 -  DEVELP LAND USE AND ZONING REG,0000 -  UNDEFINED
65222 - PL COMP NEIGH SPEC AREA PLAN,65 -  PLANNING,652 -  COMP PLANNING AND DEV REVIEW,6522 -  COMP NEIGH SPEC AREA PLANNING,0000 -  UNDEFINED
65223 - PL TRANSPORTATION PLAN NON MPO,65 -  PLANNING,652 -  COMP PLANNING AND DEV REVIEW,6523 -  TRANSPORTATION PLAN NON MPO,0000 -  UNDEFINED
65224 - PL LAND USE POLICY INTERGOV PL,65 -  PLANNING,652 -  COMP PLANNING AND DEV REVIEW,6524 -  LAND USE POLICY INTERGOV PLAN,0000 -  UNDEFINED
65225 - PL RESEARCH INFORMATION SERVIC,65 -  PLANNING,652 -  COMP PLANNING AND DEV REVIEW,6525 -  RESEARCH INFORMATION SERVICES,0000 -  UNDEFINED
65226 - PL GEO GIS ADMINISTRATION MAIN,65 -  PLANNING,652 -  COMP PLANNING AND DEV REVIEW,6526 -  GEO GIS ADMINISTRATION MAINT,0000 -  UNDEFINED
65300 - PL METROPOLITAN PLANNING ORG,65 -  PLANNING,653 -  METROPOLITAN PLANNING ORG,0000 -  UNDEFINED,0000 -  UNDEFINED
